INFO 2020-12-03 21:34:47,384 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:34:47,476 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:34:49,339 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:34:49,368 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:34:50,728 basehttp 154 "GET /admin/auth/group/ HTTP/1.1" 200 18306
INFO 2020-12-03 21:34:50,754 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:34:51,746 basehttp 154 "GET /admin/auth/user/ HTTP/1.1" 200 30542
INFO 2020-12-03 21:34:51,797 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:34:53,481 basehttp 154 "GET /admin/auth/permission/ HTTP/1.1" 200 84021
INFO 2020-12-03 21:34:53,535 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:34:54,948 basehttp 154 "GET /admin/auth/user/ HTTP/1.1" 200 30542
INFO 2020-12-03 21:34:54,981 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:34:55,471 basehttp 154 "GET /admin/auth/group/ HTTP/1.1" 200 18306
INFO 2020-12-03 21:34:55,509 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:34:56,671 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:34:56,702 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:34:56,712 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:34:56,753 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:34:57,314 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:34:57,349 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:35:23,162 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:35:23,206 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:35:30,343 basehttp 154 "GET /admin/auth/group/ HTTP/1.1" 200 18306
INFO 2020-12-03 21:35:30,378 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:35:31,576 basehttp 154 "GET /admin/auth/user/ HTTP/1.1" 200 30542
INFO 2020-12-03 21:35:31,608 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:35:32,929 basehttp 154 "GET /admin/auth/permission/ HTTP/1.1" 200 84021
INFO 2020-12-03 21:35:32,962 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:35:34,629 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:35:34,677 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:35:34,686 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:35:34,765 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:35:35,825 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:35:35,855 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:35:36,895 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:35:36,924 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:35:36,931 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:35:36,960 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
ERROR 2020-12-03 21:35:47,813 exception 77 Invalid HTTP_HOST header: '127.0.0.1:8003'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 21:35:47,852 log 228 Bad Request: /favicon.ico
WARNING 2020-12-03 21:35:47,853 basehttp 154 "GET /favicon.ico HTTP/1.1" 400 68887
INFO 2020-12-03 21:35:50,211 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:35:50,272 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:35:52,101 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:35:52,148 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:35:52,153 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:35:52,201 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:36:01,356 basehttp 154 "GET /admin/auth/user/ HTTP/1.1" 200 30542
INFO 2020-12-03 21:36:01,391 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:36:11,790 basehttp 154 "GET /admin/auth/group/ HTTP/1.1" 200 18306
INFO 2020-12-03 21:36:11,824 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:36:14,268 basehttp 154 "GET /admin/auth/permission/ HTTP/1.1" 200 84021
INFO 2020-12-03 21:36:14,298 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:36:15,601 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:36:15,644 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:36:15,649 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:36:15,701 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:36:17,152 basehttp 154 "GET /admin/ HTTP/1.1" 200 9037
INFO 2020-12-03 21:36:17,187 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 21:36:30,107 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:36:30,150 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:36:30,172 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:36:30,231 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:36:36,453 basehttp 154 "GET /admin/xadmin/log/add/ HTTP/1.1" 200 15076
WARNING 2020-12-03 21:36:36,488 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:36:36,501 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:36:36,573 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:36:42,108 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:36:42,148 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:36:46,399 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:36:46,436 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:36:46,442 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:36:46,481 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:36:47,282 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:36:47,315 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:36:47,319 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 21:36:47,361 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:37:45,130 basehttp 154 "GET /admin/xadmin/log/ HTTP/1.1" 200 24852
WARNING 2020-12-03 21:37:45,194 basehttp 154 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1767
INFO 2020-12-03 21:37:45,198 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
